Frequency,Channel A,"BandPass(A,20e6,40e6)"
(MHz),(dBu),(dBu)

0.00000000,-52.87669000,NaN
0.00476837,-60.34390000,NaN
0.00953674,-76.03280000,NaN
0.01430511,-102.23740000,NaN
0.01907349,-102.30550000,NaN
0.02384186,-102.18340000,NaN
0.02861023,-102.28190000,NaN
0.03337860,-102.16470000,NaN
0.03814697,-102.21140000,NaN
0.04291534,-101.88780000,NaN
0.04768372,-102.09560000,NaN
0.05245209,-102.50200000,NaN
0.05722046,-102.36320000,NaN
0.06198883,-102.26240000,NaN
0.06675720,-102.21810000,NaN
0.07152557,-102.32310000,NaN
0.07629395,-102.25590000,NaN
0.08106232,-102.40940000,NaN
0.08583069,-102.32830000,NaN
0.09059906,-102.43390000,NaN
0.09536743,-102.34380000,NaN
0.10013580,-102.28720000,NaN
0.10490417,-102.32360000,NaN
0.10967255,-102.26080000,NaN
0.11444092,-102.37040000,NaN
0.11920929,-102.27980000,NaN
0.12397766,-102.04730000,NaN
0.12874603,-101.80100000,NaN
0.13351440,-102.11890000,NaN
0.13828278,-102.29340000,NaN
0.14305115,-102.47500000,NaN
0.14781952,-102.28700000,NaN
0.15258789,-102.23830000,NaN
0.15735626,-102.25170000,NaN
0.16212463,-102.36650000,NaN
0.16689301,-102.24150000,NaN
0.17166138,-102.33010000,NaN
0.17642975,-102.27510000,NaN
0.18119812,-102.52290000,NaN
0.18596649,-102.54560000,NaN
0.19073486,-102.22020000,NaN
0.19550323,-102.20270000,NaN
0.20027161,-101.95100000,NaN
0.20503998,-102.15230000,NaN
0.20980835,-102.27190000,NaN
0.21457672,-102.18230000,NaN
0.21934509,-101.98940000,NaN
0.22411346,-102.28140000,NaN
0.22888184,-102.29710000,NaN
0.23365021,-102.15380000,NaN
0.23841858,-102.20300000,NaN
0.24318695,-102.28490000,NaN
0.24795532,-102.38280000,NaN
0.25272369,-102.32390000,NaN
0.25749207,-102.15830000,NaN
0.26226044,-102.13400000,NaN
0.26702881,-102.30100000,NaN
0.27179718,-102.47930000,NaN
0.27656555,-102.37300000,NaN
0.28133392,-102.53710000,NaN
0.28610229,-102.38290000,NaN
0.29087067,-102.40640000,NaN
0.29563904,-102.32380000,NaN
0.30040741,-102.68900000,NaN
0.30517578,-102.33440000,NaN
0.30994415,-102.16310000,NaN
0.31471252,-102.21590000,NaN
0.31948090,-102.26330000,NaN
0.32424927,-102.26350000,NaN
0.32901764,-102.22770000,NaN
0.33378601,-102.17150000,NaN
0.33855438,-102.48080000,NaN
0.34332275,-102.29200000,NaN
0.34809113,-102.04870000,NaN
0.35285950,-102.00030000,NaN
0.35762787,-101.99090000,NaN
0.36239624,-102.16180000,NaN
0.36716461,-102.32770000,NaN
0.37193298,-102.41350000,NaN
0.37670135,-102.26250000,NaN
0.38146973,-102.39710000,NaN
0.38623810,-102.25520000,NaN
0.39100647,-102.45420000,NaN
0.39577484,-102.27240000,NaN
0.40054321,-102.29500000,NaN
0.40531158,-102.16310000,NaN
0.41007996,-102.32910000,NaN
0.41484833,-102.30160000,NaN
0.41961670,-102.34740000,NaN
0.42438507,-102.61490000,NaN
0.42915344,-102.45410000,NaN
0.43392181,-102.41680000,NaN
0.43869019,-102.38690000,NaN
0.44345856,-102.23970000,NaN
0.44822693,-102.04990000,NaN
0.45299530,-102.07910000,NaN
0.45776367,-102.20420000,NaN
0.46253204,-102.29310000,NaN
0.46730042,-102.28640000,NaN
0.47206879,-101.98470000,NaN
0.47683716,-101.73290000,NaN
0.48160553,-102.21290000,NaN
0.48637390,-102.15240000,NaN
0.49114227,-102.28720000,NaN
0.49591064,-102.23320000,NaN
0.50067902,-102.27880000,NaN
0.50544739,-101.54030000,NaN
0.51021576,-101.81230000,NaN
0.51498413,-102.22090000,NaN
0.51975250,-102.18990000,NaN
0.52452087,-102.09550000,NaN
0.52928925,-102.16270000,NaN
0.53405762,-102.42060000,NaN
0.53882599,-102.26160000,NaN
0.54359436,-102.02930000,NaN
0.54836273,-102.17140000,NaN
0.55313110,-102.25570000,NaN
0.55789948,-102.24460000,NaN
0.56266785,-102.32890000,NaN
0.56743622,-102.45120000,NaN
0.57220459,-102.49580000,NaN
0.57697296,-102.36030000,NaN
0.58174133,-102.26010000,NaN
0.58650970,-101.98300000,NaN
0.59127808,-102.16700000,NaN
0.59604645,-102.10450000,NaN
0.60081482,-102.12610000,NaN
0.60558319,-102.05450000,NaN
0.61035156,-101.94990000,NaN
0.61511993,-102.34980000,NaN
0.61988831,-102.57550000,NaN
0.62465668,-102.33230000,NaN
0.62942505,-101.98760000,NaN
0.63419342,-101.87010000,NaN
0.63896179,-101.86890000,NaN
0.64373016,-101.99080000,NaN
0.64849854,-102.07150000,NaN
0.65326691,-102.17400000,NaN
0.65803528,-102.14350000,NaN
0.66280365,-102.05720000,NaN
0.66757202,-102.02000000,NaN
0.67234039,-102.30990000,NaN
0.67710876,-102.20890000,NaN
0.68187714,-102.10910000,NaN
0.68664551,-101.97150000,NaN
0.69141388,-101.91760000,NaN
0.69618225,-102.33620000,NaN
0.70095062,-102.40130000,NaN
0.70571899,-102.20340000,NaN
0.71048737,-102.06090000,NaN
0.71525574,-101.95630000,NaN
0.72002411,-101.98100000,NaN
0.72479248,-101.97720000,NaN
0.72956085,-101.91320000,NaN
0.73432922,-101.93060000,NaN
0.73909760,-101.86250000,NaN
0.74386597,-102.11310000,NaN
0.74863434,-102.50770000,NaN
0.75340271,-102.18510000,NaN
0.75817108,-102.07550000,NaN
0.76293945,-102.20520000,NaN
0.76770782,-101.98960000,NaN
0.77247620,-102.03320000,NaN
0.77724457,-102.22990000,NaN
0.78201294,-102.31240000,NaN
0.78678131,-102.35380000,NaN
0.79154968,-102.16650000,NaN
0.79631805,-102.19200000,NaN
0.80108643,-102.25400000,NaN
0.80585480,-102.33130000,NaN
0.81062317,-102.28130000,NaN
0.81539154,-102.26430000,NaN
0.82015991,-102.13060000,NaN
0.82492828,-102.33460000,NaN
0.82969666,-102.26590000,NaN
0.83446503,-102.18950000,NaN
0.83923340,-102.25390000,NaN
0.84400177,-102.03480000,NaN
0.84877014,-102.13550000,NaN
0.85353851,-102.33740000,NaN
0.85830688,-101.91050000,NaN
0.86307526,-101.87380000,NaN
0.86784363,-102.03990000,NaN
0.87261200,-102.16040000,NaN
0.87738037,-102.24330000,NaN
0.88214874,-102.18460000,NaN
0.88691711,-102.06950000,NaN
0.89168549,-101.92380000,NaN
0.89645386,-102.00580000,NaN
0.90122223,-102.26400000,NaN
0.90599060,-101.76730000,NaN
0.91075897,-101.54820000,NaN
0.91552734,-101.54620000,NaN
0.92029572,-101.89690000,NaN
0.92506409,-101.95460000,NaN
0.92983246,-101.88300000,NaN
0.93460083,-102.08430000,NaN
0.93936920,-102.27360000,NaN
0.94413757,-102.02410000,NaN
0.94890594,-101.89940000,NaN
0.95367432,-101.75950000,NaN
0.95844269,-102.08330000,NaN
