Frequency,Channel A,"BandPass(A,20e6,40e6)"
(MHz),(dBu),(dBu)

0.00000000,-60.07466000,NaN
0.00476837,-67.59102000,NaN
0.00953674,-83.50554000,NaN
0.01430511,-106.83700000,NaN
0.01907349,-106.69770000,NaN
0.02384186,-106.49870000,NaN
0.02861023,-107.23460000,NaN
0.03337860,-105.89240000,NaN
0.03814697,-106.20430000,NaN
0.04291534,-106.91680000,NaN
0.04768372,-107.09520000,NaN
0.05245209,-106.85050000,NaN
0.05722046,-107.68790000,NaN
0.06198883,-107.69900000,NaN
0.06675720,-106.96840000,NaN
0.07152557,-108.03870000,NaN
0.07629395,-107.59240000,NaN
0.08106232,-106.85380000,NaN
0.08583069,-107.20080000,NaN
0.09059906,-106.19730000,NaN
0.09536743,-106.83810000,NaN
0.10013580,-107.12930000,NaN
0.10490417,-107.25270000,NaN
0.10967255,-106.74360000,NaN
0.11444092,-106.85430000,NaN
0.11920929,-107.02830000,NaN
0.12397766,-106.77380000,NaN
0.12874603,-107.69890000,NaN
0.13351440,-107.40870000,NaN
0.13828278,-107.16500000,NaN
0.14305115,-106.94190000,NaN
0.14781952,-106.28470000,NaN
0.15258789,-106.78320000,NaN
0.15735626,-107.19710000,NaN
0.16212463,-107.37350000,NaN
0.16689301,-107.48880000,NaN
0.17166138,-107.50880000,NaN
0.17642975,-106.82790000,NaN
0.18119812,-106.87360000,NaN
0.18596649,-107.65340000,NaN
0.19073486,-107.49270000,NaN
0.19550323,-106.87040000,NaN
0.20027161,-107.37710000,NaN
0.20503998,-107.46420000,NaN
0.20980835,-107.72450000,NaN
0.21457672,-108.19280000,NaN
0.21934509,-107.74370000,NaN
0.22411346,-107.31650000,NaN
0.22888184,-106.77830000,NaN
0.23365021,-106.36410000,NaN
0.23841858,-107.10250000,NaN
0.24318695,-107.58380000,NaN
0.24795532,-106.73270000,NaN
0.25272369,-106.55970000,NaN
0.25749207,-106.58240000,NaN
0.26226044,-106.46730000,NaN
0.26702881,-106.62440000,NaN
0.27179718,-106.78240000,NaN
0.27656555,-107.10060000,NaN
0.28133392,-106.93670000,NaN
0.28610229,-106.92960000,NaN
0.29087067,-106.72020000,NaN
0.29563904,-107.24490000,NaN
0.30040741,-107.31890000,NaN
0.30517578,-106.83290000,NaN
0.30994415,-107.09610000,NaN
0.31471252,-107.40530000,NaN
0.31948090,-107.07990000,NaN
0.32424927,-106.44250000,NaN
0.32901764,-107.46320000,NaN
0.33378601,-107.15080000,NaN
0.33855438,-106.95830000,NaN
0.34332275,-106.28620000,NaN
0.34809113,-106.58340000,NaN
0.35285950,-106.03440000,NaN
0.35762787,-106.88670000,NaN
0.36239624,-107.06490000,NaN
0.36716461,-106.59760000,NaN
0.37193298,-107.36280000,NaN
0.37670135,-108.12760000,NaN
0.38146973,-107.41610000,NaN
0.38623810,-107.33390000,NaN
0.39100647,-107.11650000,NaN
0.39577484,-107.60730000,NaN
0.40054321,-106.96460000,NaN
0.40531158,-106.44020000,NaN
0.41007996,-107.23650000,NaN
0.41484833,-107.16460000,NaN
0.41961670,-106.78140000,NaN
0.42438507,-106.66000000,NaN
0.42915344,-106.74710000,NaN
0.43392181,-106.85670000,NaN
0.43869019,-106.70160000,NaN
0.44345856,-107.19640000,NaN
0.44822693,-107.14520000,NaN
0.45299530,-106.76870000,NaN
0.45776367,-106.69900000,NaN
0.46253204,-106.22290000,NaN
0.46730042,-106.48610000,NaN
0.47206879,-105.97990000,NaN
0.47683716,-105.83000000,NaN
0.48160553,-107.21770000,NaN
0.48637390,-107.15660000,NaN
0.49114227,-106.93960000,NaN
0.49591064,-107.81100000,NaN
0.50067902,-107.63010000,NaN
0.50544739,-106.59040000,NaN
0.51021576,-106.75350000,NaN
0.51498413,-106.97930000,NaN
0.51975250,-106.79580000,NaN
0.52452087,-106.75120000,NaN
0.52928925,-107.30260000,NaN
0.53405762,-106.95100000,NaN
0.53882599,-106.64040000,NaN
0.54359436,-106.61100000,NaN
0.54836273,-107.08680000,NaN
0.55313110,-106.83820000,NaN
0.55789948,-107.66540000,NaN
0.56266785,-107.54440000,NaN
0.56743622,-107.84610000,NaN
0.57220459,-107.93670000,NaN
0.57697296,-106.86850000,NaN
0.58174133,-106.90420000,NaN
0.58650970,-107.27650000,NaN
0.59127808,-106.71160000,NaN
0.59604645,-106.92040000,NaN
0.60081482,-107.30680000,NaN
0.60558319,-107.37600000,NaN
0.61035156,-107.24100000,NaN
0.61511993,-106.71580000,NaN
0.61988831,-107.88860000,NaN
0.62465668,-106.91530000,NaN
0.62942505,-107.22020000,NaN
0.63419342,-106.56580000,NaN
0.63896179,-105.83660000,NaN
0.64373016,-106.14550000,NaN
0.64849854,-107.08980000,NaN
0.65326691,-108.15680000,NaN
0.65803528,-107.03610000,NaN
0.66280365,-107.82490000,NaN
0.66757202,-107.37990000,NaN
0.67234039,-107.02190000,NaN
0.67710876,-107.58950000,NaN
0.68187714,-107.62450000,NaN
0.68664551,-107.48150000,NaN
0.69141388,-107.14770000,NaN
0.69618225,-107.36970000,NaN
0.70095062,-107.59920000,NaN
0.70571899,-107.15060000,NaN
0.71048737,-107.20680000,NaN
0.71525574,-107.17050000,NaN
0.72002411,-106.51670000,NaN
0.72479248,-106.40370000,NaN
0.72956085,-106.59000000,NaN
0.73432922,-106.88220000,NaN
0.73909760,-106.75720000,NaN
0.74386597,-106.67270000,NaN
0.74863434,-106.53780000,NaN
0.75340271,-106.93260000,NaN
0.75817108,-107.43870000,NaN
0.76293945,-107.51520000,NaN
0.76770782,-106.77420000,NaN
0.77247620,-107.50670000,NaN
0.77724457,-106.74230000,NaN
0.78201294,-106.19710000,NaN
0.78678131,-106.74970000,NaN
0.79154968,-106.93850000,NaN
0.79631805,-107.40760000,NaN
0.80108643,-107.29040000,NaN
0.80585480,-106.65460000,NaN
0.81062317,-106.99890000,NaN
0.81539154,-107.40260000,NaN
0.82015991,-107.43130000,NaN
0.82492828,-106.82780000,NaN
0.82969666,-107.11460000,NaN
0.83446503,-107.53640000,NaN
0.83923340,-106.95800000,NaN
0.84400177,-106.87980000,NaN
0.84877014,-106.95980000,NaN
0.85353851,-107.59200000,NaN
0.85830688,-107.48290000,NaN
0.86307526,-107.18410000,NaN
0.86784363,-106.72420000,NaN
0.87261200,-106.68200000,NaN
0.87738037,-106.39640000,NaN
0.88214874,-106.66260000,NaN
0.88691711,-107.61760000,NaN
0.89168549,-107.51020000,NaN
0.89645386,-107.11540000,NaN
0.90122223,-107.03500000,NaN
0.90599060,-106.52310000,NaN
0.91075897,-106.87820000,NaN
0.91552734,-106.66370000,NaN
0.92029572,-107.18010000,NaN
0.92506409,-107.13570000,NaN
0.92983246,-106.90210000,NaN
0.93460083,-107.32850000,NaN
0.93936920,-107.08680000,NaN
0.94413757,-107.61820000,NaN
0.94890594,-107.72590000,NaN
0.95367432,-107.04630000,NaN
0.95844269,-107.14260000,NaN
